회원번호/이름/이용권정보(헬스0,필테1,요가2,스피닝3)/사물함여부(o,x)/결제일/결제금액/결제종류(현금1,카드2,환불3,양도4)
00005	x김가나	0	o	220428	00420	1
00002	x양윤성	2	x	220428	00220	2
00002	x양윤성	1	o	220428	00420	2
00001	x윤성찬	3	o	220428	00305	2
00004	x홍길동	1	x	220429	00220	2
00004	x홍길동	0	o	220429	00225	1
00004	x홍길동	1	o	220429	00425	2
00004	x홍길동	-	o	220502	00005	1
00002	x양윤성	-	o	220502	00005	1
00002	x양윤성	-	o	220502	00005	1
00001	x윤성찬	-	o	220502	00005	1
00004	x홍길동	1	o	220502	00525	2
00004	x홍길동	3	o	220502	00525	2
00002	x양윤성	1	o	220502	00245	2
00002	x양윤성	2	o	220502	00245	2
00002	x양윤성	3	o	220502	00245	2
00002	x양윤성	0	o	220502	00165	2
00002	x양윤성	1	o	220502	00165	2
00002	x양윤성	0	o	220502	00225	1
00002	x양윤성	0	x	220502	00500	1
00002	x양윤성	1	x	220502	00500	1
00002	x양윤성	0	o	220502	00011	0
00002	x양윤성	0	o	220502	00028	0
00002	x양윤성	0	o	802205	00002	1
00004	x홍길동	1	x	802205	00002	1
00006	x박다라	0	o	420022	00502	2
00006	x박다라	-	o	522050	00005	2
00006	x박다라	1	o	220220	00502	2
00006	x박다라	-	o	522050	00005	2
00007	x이마바	0	o	220502	00420	2
00007	x이마바	1	o	220502	00080	2
00007	x이마바	-	o	220502	00005	2
00006	x박다라	-	o	220502	00005	1
00007	x이마바	-	o	220502	00005	2
00005	x김가나	-	o	220502	00005	1
00005	x김가나	-	o	220502	00005	1
00002	x양윤성	-	o	220502	00005	2
00006	x박다라	0	o	220502	00100	1
00006	x박다라	-	o	220502	00005	1
00006	x박다라	0	o	220502	00080	1
00006	x박다라	-	o	220502	00005	1
00004	x홍길동	-	o	220502	00005	1
00004	x홍길동	-	o	220502	00005	2
00001	x윤성찬	0	x	220503	00080	1
00001	x윤성찬	1	x	220503	00220	1
00001	x윤성찬	0	x	220503	00420	2
00001	x윤성찬	1	x	220503	00270	2
00028	xx희망	0	o	220503	00300	2
00028	xx희망	1	o	220503	00450	2
00002	x파이썬	0	o	220504	00010	2
00002	x파이썬	1	o	220504	00100	2
00002	x파이썬	2	o	220504	00100	2
00002	x파이썬	3	o	220504	00100	2
00003	xx쿠우	0	o	220504	00010	2
00003	xx쿠우	1	o	220504	00100	2
00003	xx쿠우	2	o	220504	00100	2
00003	xx쿠우	3	o	220504	00100	2
00011	JACO	0	o	220504	00420	1
